screenName,name,bio,followersCount,tweetsCount,friendsCount
yovo_yawo,Yawo Yovo,CSE Final year student ||Developer ||Coder || Learner,82,80,492
Nikk112002,Nikhil Bavistale,,15,106,31
Mayuri1601,Mayuri Agrawal,,2,6,34
Swapnam40063920,Swapnamoy,,6,1,40
harman1293,Hpk,,2,3,25
singh_tapanjeet,Tapanjeet Singh,,0,51,81
KalpeshKaklij,Kalpesh Kaklij,Who are you?,2,3,79
dhoble_anup,AnnonymousAJAX,"Web Developer | 4 x Hackathon Winner | GSSoC 23 |
Marketing @cncfthane | Tech Enthusiast | Content Creator",17,26,57
Ajaymaurya_1008,Ajay Maurya,@gdsc_bu Lead-23✨ || Smart India Hackathon-22 Winner🏆||Mern Stack developer🗿 || open source contributor💻,210,598,301
RashiPorwal1,Rashi Porwal,"Web developer | @kalilinux, python @cyber_security ❤  | into trending tech innovations and advancements| artificial intelligence✌| Stay_Woke☠️",578,186,525
BMK_24,ZedNick_FuryðŸ‡¿ðŸ‡²,"My current areas of interest include artificial intelligence, machine learning, software engineering, android development ,and Big data analytics.",88,23,233
ShubhamAtugade,Shubham Atugade,"| June 16 | 22🥂| 🇮🇳 ~ 8/28 States • 🇰🇼- 2/195 Countries | 🌈Fill Your Life With Adventures , Not Things. Have Stories To Tell Not Stuff To Show🌱 |",13,0,397
Sivaprakash_16,Sivaprakash Subramaniyam,CSE student | Frontend Web Developer | Core team member @DevForceConnect,297,11,4351
Aditya_340_,Aditya Patil,,25,17,188
sakthi_cham,Sakthivel,SIH'22 Winner 🏆 | IIT Madras B.S Degree 🎓 | Creativity & Outreach Lead GDSC’22 👨‍💻 | Flutter Developer💥 | Frontend Developer | ReactJs | UI/UX Designer,25,0,195
geekyjha,Shivam Kumar Jha,,4,5,39
Kalyanjadhav45,Kalyan Patil,Engineer | Programmer | 22 | CSE'23 ITER,9,4,52
iamayush_7,Ayush,Building @theDevArmy | Former @Google DSC Lead | Looking for DevRel Opportunities 🥑 | Organizer GDSC WoW Nagpur (@gdsc_nagpur),21,30,89
Rudra_Pratik,Pratik Agrawal #WoWNagpur,"~3 words for me - humble, accepting, curious 😇 
~Learner till death 🤯 
~Always room for improvisation ✌️🏼 
~Reserved for someone who values my thoughts🤗",259,170,486
humayunkamran,HumayunKamran,,64,1203,487
Surajs2805,Suraj S,java and Android developer fresher,0,1,17
BharatKumarRag2,Bharat Kumar Raghav,,3,2,156
Avkr1211,Avinash Kumar,College student/Engineering/fond of code/especially python,49,187,295
Rokesh661767974,Rokesh..,Entrepreneur | Agriculturist | Environmentalist | Innovator,1,1,84
botanocrats,K. Abdul Wahab Shah,"23, Android Developer, Winner @SIH2022_MIC",19,11,411
ParthPrPi,Parth Pitrubhakta,Flutter Developer | Backend Developer | ML Enthusiast,7,10,91
usjadon,UTKARSH SINGH,"LNMIIT'26. 
Aspiring Coder and Developer.",18,26,187
SujalBa64566860,Sujal Bajaj,"""Naturally introvert selective extrovert""",24,5,45
pulkit_nishad,Pulkit Nishad,#Tech Enthusiastic 🤩 || Learning #AI || #ML || #Android Dev📱 || #RPA Dev || #Full_Stack Dev 💻|| #Flutter || #Devloper ||,7,58,323
ojasvisingh786,Ojasvi Singh Yadavâ„¢,"GDSC Lead'23 ||GSSoC'23 Contributor|| Blockchain Enthusiast || Open-source ||
Development || Space Enthusiast || 🚀🚀🧑‍🚀
https://t.co/vdkT43xoVW",256,1317,2120
N_Himanshu_,Himanshu Narware,"Bengal🙋‍♀️, Engineering (EC)👩‍🔧, Food lover🍱, Family is Everything👨‍👩‍👧, Have someone Special☺️",4,34,131
iamsg0905,With Love S.G.,Web Developer || C++ Programmer || College Student,5,1,50
mayank_goel36,Yellowbeard,"I am who I am is by the Grace of GOD ALMIGHTY,easy going, friendly and kind to everyone. love to mingle",6,65,52
HarrisonChiedo2,Harrison Chiedozie,"no RW, no LW,  SANATANI💪💪",29,23,187
sanskar_shree,sanskar shree,"#sᴛᴜᴅᴇɴᴛ

#ɴᴀᴛɪᴏɴᴀʟ ɪɴꜱᴛɪᴛᴜᴛᴇ ᴏꜰ ᴛᴇᴄʜɴᴏʟᴏɢʏ 

💻 ᴄᴏᴍᴘᴜᴛᴇʀ ꜱᴄɪᴇɴᴄᴇ ᴀɴᴅ ᴇɴɢɪɴᴇᴇʀɪɴɢ",67,4218,289
Rxxid18a,ð“¡ð”ð”ð“²ð“­18ð“ª ð“¼ð“²ð“·ð“°ð“± ð“¬ð“±ð“ªð“¾ð“±ð“ªð“·,,10,4,115
Nitesh156399467,Nitesh,"19| Building SaaS @pixelwandlive
https://t.co/xZ0n6i5x7i",0,2,61
kirtikastwt,kirtika,"Computer Science Student of Rungta College Of Engineering And Technology, Bhilai",580,385,323
siddharthraj30,SIDDHARTH RAJ,,6,30,88
MohithTwts,Mohith Peddineni,frontend developer • @neogCamp 23 • technical writer @freeCodeCamp,22,7,364
sobit_prasad,Sobit is doing #151DaysOfCode,,383,371,860
Kumar_suraj01,Suraj Kumar,,0,0,11
Akshith01698835,Akshitha,,0,1,66
pareek34196,Ravi Pareek,,0,3,22
RishiBh44024510,Rishi Bhardwaj,"pursuing Btech in AI ML from LNCT bhopal, tech enthusiast, frontend web D",1,0,50
arpitsingh_03,Arpit Singh,@CodessCafe OS mentee'23 || @gdsc_jkiapt Web-dev lead  ||Shares things that are worth wasting time on ||#100DaysofCode,4,0,116
Alisha_kausheen,Alisha Kausheen,,443,410,241
manashanand2,Manash Anand,Electronics engineer,16,304,99
94d2cfc6eb5b4c2,Karan Pathak,Software Engineer,0,5,10
ntripathi,à¤¨à¤¿à¤¤à¤¿à¤¨ à¤¤à¥à¤°à¤¿à¤ªà¤¾à¤ à¥€ ðŸ‡®ðŸ‡³,"I’m living the dream.

@Jamia_Hamdard
@Software_Engineering",278,645,1440
ZiyaChox,Ziya Ul Rehman,"SJCE (JSSSTU) CSE'26||

I always try to come out of the rush.",11,7,35
