screenName,name,bio,followersCount,friendsCount,tweetsCount
mhrd_innovation,MOE's Innovation Cell- GOI,"Ministry of Education's Innovation Cell - Government of India, Official Handle",35873,42,1240
_RobinRoy,Robin Roy,"Building cool stuff. erevald @_buildspace

working on the current thing (https://t.co/Y2E4Pb2MBT)",95,612,526
sandipmaths,Sandip Chatterjee,Common Man,2,59,1
shak103254,Shakti Nayak,"Full stack Developer (MERN) ✨• Machine Learning 👽• Deep Learning 🦁• Sleepy head 😴 🗣️ 
Old Account hacked🥲
New Twitter account 🙂",14,35,29
dranuragverma22,Dr. Anurag Verma,"Asst. Professor, IET- Lucknow | “ज्ञान से शब्द समझ में आते हैं और अनुभव से अर्थ”|",130,438,322
Anky22cool,Ankita awasthi,,38,583,222
vemuitchittoor,Vemu Institute Of Technology,"""To Experience Tomorrow Visit VEMU Today""",5,27,69
DevDotDaksh,Daksh Deep 🧑‍💻,Android Developer | Grinding Flutter these days | Working on NGO_Nexus | Novice Data Scientist #buildinpublic,347,689,972
mohanpus,mohan,,48,459,340
anshusrivastw,ADITYA RAJ SRIVASTAVA,,1,42,8
Kuldeep58644134,Kuldeep_Mishra,"CSE 💯💯

🚩🚩सनातन 🚩🚩

performance becomes by product ✌️",7,418,59
akb6406,Ankit Baghel,"Software Developer Intern at @EMSECUK | Leetcode Enthusiast(1600+ rating) | Final-year https://t.co/4S48vDDavD Computer Science
💻 MERN Stack Developer",7,67,19
uvesh446,uvesh,learning web development || open-source enthusiasts,2,70,0
SarveniB,B Sarveni,,0,15,0
Sarthak01431462,Sarthak Bansal,,2,32,6
YuvrajGupt71098,Yuvraj Gupta,,0,15,0
pforpani4,srikanth panigrahi,,0,5,0
motivator108,LIMIT THE IMPOSSIBLE,"The Only True Failure Is The Failure To Try.
Good Intentions Pave The Way For Positive Outcomes",0,17,35
StyxWorking,Twilight Levi,Hi,0,3,9
srujana_05_,srujana,,2,42,0
Premrajput69,Premrajput🪬,"In search of intellectual independence , proud trader !",23,190,83
ParthG77,Parth G,Aspiring web developer & Devops enthusiast. Constantly learning and exploring new technologies 👍,14,444,34
Hi_Shinobi,Gaurav Singh,A student,24,350,915
_Parag_Das,Parag Das,Student,1,49,25
kundan_singh91,kundan_singh,ITS ALL ABOUT Perspective,30,263,64
krishnaAgr2992,krishna agrawal,Blockchain Developer,13,45,8
Purnendu987,Purnendu Naskar,"☆꧁ 𝑵𝒂𝒕𝒖𝒓𝒆 𝒊𝒔 𝒍𝒊𝒇𝒆 
𝒃𝒖𝒕 
𝑾𝒉𝒂𝒕 𝒊𝒔 𝒍𝒊𝒇𝒆 𝒘𝒊𝒕𝒉𝒐𝒖𝒕 𝒏𝒂𝒕𝒖𝒓𝒆?   ꧂☆",10,329,6
SUDHAKARIT86,SUDHAKAR DWIVEDI,,16,104,122
gautamkp078,Gautam Pandey 👨‍💻,"Freelancer |programmer| web development | Working at localhost:3000 | Neogcamp 23 |
आलस्यम् परमम् धर्म  🥱",257,1326,1278
AOM7112,OM Asalkar,Valorant IGN:NTKID #6T9,12,40,1
g_mukesh_,G Mukesh,Hello,10,133,1042
YUNUS600877201,YUNUS,idol Elon,3,32,31
apsdesai,ripe sun,,0,37,1
unknown907194,Rishu raj,trying to code my life..,0,17,16
D3_14159,D3.14159,Yes,13,290,33
Iamsupriyo28,Supriyo Ghosh,Science and technology can solve all the world's problems..BTECH👨‍🎓 IT26 HIT.FRONTEND DEVELOPER 💻.I am a learner who likes to share his/her deep learnings.✍,173,839,125
Srajanstwt,Srajan Bansal,Building a profile || Open Source Enthusiast || DSA || Learning MERN stack,13,62,194
Pintukumar1012,Pintu_kumar,"•CSE'25  🎓 💻

 • Learning Full stack developer || SDE || Learning DSA 🔍 in C++ .",11,105,3
sarika1219,Sarika,,0,22,0
jaydipsinh_13,Jaydipsinh Solanki,Web Developer 👨‍💻,2,10,0
DeepakK54534823,Deepak Kumar Saini,Student,1,48,0
Mrsaivarshith28,SAI VARSHITH,,15,716,77
njnrn,Niranjan Patil,"Steamrolling security in startups, businesses & governments. Researcher, Tinkerer, Novice Runner. Founder @OPSECLabs #OSINT #Privacy #HinduCause njnrn.eth",1384,1044,32047
maxy9088,MazeJack,Coding 🧑‍💻 | Dsa💻 | Freelance | #100DaysOfCode | Frontend 🖥️,12,103,2
harmeetsaini76,Harmeet Kaur,"MasterTrainer- UNESCO MGIEP courses, Received Teacher of Innovation award by cbse, State winner award by Ministry of Culture, eRaksha competition 2022 winner 🏆",396,108,2658
neela_saikiran,Neela Saikiran,Something special Sai with always smiling😊😊,16,72,2
NNjaggie,Jags D Hustler,"Startup Generalist
Sell 1st, Build Next 
Minimalist. #BuildingInPublic
#NoCode Fan. #Robotics #MachineVision #ADAS 
 
🕉️🇮🇳",416,3494,4887
coder_chintu,Raj Kumar,A student of Computer Science and I love computers. I'm highly interested in cyber security and C|EH.,43,163,249
anjali51180,Anjali yadav,,1,19,5
hiAbhishekh,Abhishek,,9,152,22
rohiitcodes,Rohit,"there is good in this world.
code and poetry, that's all I do.",181,107,2255
Sanju_46_,Sanju,,1,20,1
PcGajendran,Gajendran P,Assistant Professor,65,80,46
Rajakumar2711,RAJAKUMAR. V,,0,11,2
gandherva2002,Chirag Gandherva,,0,16,0
TotalaTulsi,Tulsi Totala,,1,6,0
EddyPraveen,EddyPraveen,,0,25,64
shivamlth27,Shivam,BTech DSAI'26 || Data Science and Artificial Intelligence || IIT Bhilai,1,61,0
SA15284617,Saranya Adhikary,"Proton gives an atom it's identity,
neutron gives personality.",27,207,97
HarshalRMishra,Harshal Mishra,,26,419,126
Rina3AP,Rina Pawar,Frontend Dev  ReactJS || Learning DSA  Java || Passionate about coding & growth,25,122,77
SwaroopBhagwat2,Swaroop,"DBIT'25/
Fitness/Music Production/Photography/Martial Arts/Blockchain Enthusiast.",105,525,69
MeSusendaran,Susendaran V,,45,701,4
pratikpol,Pratik Pol,https://t.co/CO8vJIPX1z,15,445,14
patil_sakshi8,Patil Sakshi,God girl,2,13,4
Daxesh52,Daxesh,😎,43,227,21
MAYANKMANGALMO1,MAYANK,,1,31,4
imcoder06,Abdus Samad,My self is I am coder.,0,15,6
SakshiTamshetti,Sakshi Tamshetti,"𝐸𝓍𝓅𝓁𝑜𝓇𝒾𝓃𝑔 𝓂𝓎 𝓉𝒾𝓃𝓎 𝓁𝒾𝒻𝑒❀

𝐿𝑒𝒶𝓋𝒾𝓃𝑔 𝒶 𝒷𝒾𝓉 𝑜𝒻 𝓈𝓅𝒶𝓇𝓀𝓁𝑒 𝑒𝓋𝑒𝓇𝓎𝓌𝒽𝑒𝓇𝑒 𝐼 𝑔𝑜★",5,15,2
ShivamT50796733,Shivam,,0,8,7
shrikantpawar03,Shríkant pawar,A passionate web developer,3,81,0
me_Abhishek01,Abhishek Kumar,"2nd yr https://t.co/gb7Cyqthko (CSE) student |
Insta - https://t.co/qVqv2zS807",0,29,2
Shruti_Anand20,Shruti Anand,,0,65,5
RehamathunnisaA,Rehamathunnisa Ali,,1,25,0
SDileeban2,திலீபன்,🤩,109,1716,562
ANYAMPAVANKUMA1,PAVANKUMAR,,8,52,4271
P_Kaushal9712,Prashant kaushal,DSA | JAVA | WEB DEV,20,120,127
bigblz_blaze,Bhabartha Prakash Gogoi,,0,14,32
YKondkari49706,Yusuf Kondkari,,15,52,0
invarr0w,Abdul Rahman ArM🌌,"⚙️Learner by heart, chills with Art 👾 Working on robos and Building @Vistech4all",14,143,178
Shobhits_IITK,Shobhits,"Research Scholar @ IIT Kanpur | Exploring Geospatial, drone tech, ML  in River science research | Join me on this scientific journey !🌍💡",373,1406,322
RishiRaamNS,Rishi,Documenting my journey to $10k/month as a Solopreneur through Design and Copywriting.,8,62,111
vinayak_mapari,Vinayak Mapari,"On a quest to conquer the gaming world, one level at a time.  Pursuing pro status in my own way. Join me as I write my own gaming story!  #SoftwareDeveloper",20,254,69
heyares06,El_Ares,Born innocent...Become imperfect...and Now immoral...!!!,0,6,19
MukeshKuiry7,Mukesh Kuiry⚡️,Building @useFreeflow 🧭 | Ex - Software Developer @unsnarl_secure ✨ | Building @by_clueless 🚀 | Exploring DevOps and Cloud | Leetcode 600+ | HIT CSE'25 👋,117,259,368
aagneyesyam,Aagneye,Lining of my skin won't spell a word,29,121,165
AadhavanGreen,Aadhavan Green Energy Solutions,"We are a Leading SOLAR EPC COMPANY ..We Design, Procure , Install and Commissioning the Green Energy Power Plants",15,215,4
aravindhanav357,Aravindhan,Just live the moment ✌✌,1,86,2
MathanR35970188,Mathan _Raj,I'm mathan raj. I like robotics,1,108,12
PUdayamani,Udaya Mani Pedada,"I'm a student at GMR IT and NxtWave’s CCBP 4.0 Academy | Knows Python, Front End Development | Looking for internships",230,37,36
MrVip_984,Nagaraju Boyapally 🌐,Darling 💓,125,724,1816
im_zor06,RORONOA|ZORO✌️🎖️,"|crypto enthusiast| |love blockchain| |@hasukinfts,@nfthook1,@TRAVELERS_ln,@cripticdao,@desuilabs| 🇮🇳 still beginning phase of coding ✌️🧊",1063,4482,17303
bavishnu22,Bavishnu,🇩​🇴​ 🇧​🇮​🇬​✌️ 🇧​🇪​ 🇧​🇦​🇩​🥵,2,33,2
0armaan025,Armaan,Learning Computer Science | Development and Hackathons,22,42,67
praveen_958,Praveen Chouhan🇮🇳👨‍💻,"Learning Data Structures and Algorithms 👨‍💻
Soo eager to share my journey with you.",6,199,29
aprata_sona27,APRATA SONA,,0,26,2
VishnuSanalT,Vishnu Sanal T,You're Awesome :),35,286,4
BharatiyaB56456,Bimal Pattnaik,"Strength is life,weakness is death.
Koraput district special reporter Focus Plus",244,1559,52
Sriram_31_,Sriram,✌,6,255,30
shubhamkumar029,Shubham Kumar,Problem-Solving Software Engineer 👨🏻‍💻 | 🌐 Web Developer | WordPress Specialist 🔧 - Fixing WordPress Bugs with Expertise 🚀 | Creative Graphic Designer 🎨,28,68,0
YadavNikhil093,NIKHIL YADAV,,0,8,1
YashCha14896229,Yash Chaudhary,Yash Chaudhari,8,529,30
Prashant20202,Prashant2020,"Senior Reporter @DainikBhaskar,@IIMC - India",210,2070,312
Am306166Mishra,Abhishek Mishra,,0,73,1
Surajj91,Suraj Choudhary,,6,148,6
SivamSanka34542,sankar sivam,,0,14,0
GudapuRamu,Ramu Gudapu,,1,33,16
Suraj74858404,SURAJ,Void,15,279,455
Moin_Hossain26,Moin Hossain,,2,11,3
x_just39953,JUST CALL ME X,,0,4,1
mbhatte1,Manmath🇮🇳,"🇮🇳Nation First.

| Navodayan💙",42,2411,268
ritikakhurana41,Ritika Khurana,kyu Janna h bhai ?,1,60,61
Praveenp1P,17-PRAVEEN P,,4,69,4
suju_tadadikar,SUJIT TADADIKAR,"Pillaite🤘❤️ 
Alma Mater @pillaicollege
👨🏻‍💻 Engineer by Profession | 👨‍🍳Cook by Passion🔥❤️
#Computer_Science_Engineering_Grad👨‍🎓🤟
#Goan😍
#Mumbaikar😎",76,1179,494
Selvaku75699269,Selvakumar S,Academician and Researcher (Finding Sustainable Solutions for Transportation Infrastructure Problems),11,308,50
vikaskr_07,Vikas,,72,151,4046
Divine_Angel999,Shravni,Accepting The Reality 🍀🍀,217,238,4325
IIC_CIT_Chennai,"Chennai Institute of Technology, Chennai","Chennai Institute of Technology is an Industry-connected autonomous Institute, and is a co-educational engineering college located at Kundrathur, Chennai",7,17,28
UshreeDas,Ushree Das,,0,28,10
Periyas54890391,Periyasamy P,"STEM & ICT Educator. #Flipgrid Certified Educator, @MIE, @Skype Master, #Minecraft Trainer, #STEM learning, #Kahoot, #WakeletWave",34,163,25
lam_phani,Phani sai Lam,,0,5,2
RosalinaFe9832,ScrollUnlock,"Goal is to make things secure.

https://t.co/opilbe7Rwu

https://t.co/1diWKpLblI",23,169,903
Yashi84434249,Yashi,,79,429,7726
yashkadole007,Yash Kadole,machine learning | writing down my thoughts,46,1782,397
mohitvdx,Mohit Verma,Web3 🚀| DeFi,29,92,172
Arivazhagan1011,Arivu Alagan,😎😎😎,1,89,0
anvaymajhrout22,Anvay Majhrout,,2,32,9
linardur,Rudranil Bhattacharjee,Student📚 | Content Creator🤳 | Developer👨‍💻 | Anime🗿 | Shorts🎞️ | Gym💪,18,112,236
tejus3131,Tejus Gupta,An enthusiastic programmer.,0,1,6
VikashSinghKu19,VIKASH KUMAR SINGH,Student CSE(IOT) at BCE Bakhtiyarpur,2,118,8
mai3dalvi,mai3,19 • life is both fun and fcked • Engineering🎓 • Coding🫧 • momo & meme lover,701,346,1915
AyushDe48741537,Ayush Deep,,4,203,73
SihGecv,SIH Internal Hackathon GECV,"Official account for Internal Hackathon Government Engineering College Vaishali.
Register here: https://t.co/IWgk0vlGF7",10,3,2
SanskarBhardw18,Sanskar Bhardwaj,,10,72,51
FaizanD02322232,Faizan Deshmukh,,0,4,0
